transaction_id;time_of_purchase;purchase_amount (SEK);customer_id;fname;lname;age;addr_city;email;has_paid_before;annual_salary;type_of_goods;delivery_city;ip_country;is_fraud
2001563;16:52:11;15249;3941;Agneta;Jansson;28;Stockholm;og20neta.jansslite@hotmail.con;t;-;Clothing;Fieldberg;SE;f
1997663;14:20:45;9334;122158;Agneta;Gustafsson;73;Malmo;og20neta_gustafsslite@gmail.con;f;340000;Dating;Magenta;SE;f
2013263;12:26:00;8744;25977;Agneta;Olofsson;60;Stockholm;og20neta.olofsslite@hotmail.con;t;304000;Clothing;Fieldberg;SE;f
2009363;15:13:01;6779;31238;Agneta;Petersson;66;Stockholm;og20neta.petersslite@hotmail.con;t;76000;Electronics;Fieldberg;SE;f
1988563;16:08:04;4963;37499;Agneta;Karlsson;36;Lund;og20n.kalite@yahoo.sn;f;228000;Tickets;Lund;FI;f
2032763;16:20:38;4485;19884;Agneta;Sjoberg;52;Stockholm;og20neta.sjobelite@hotmail.con;t;493000;Clothing;Fieldberg;SE;f
1991163;20:46:27;4275;119430;Agneta;Eriksson;40;Stockholm;oj20r16tlite@live.sn;f;139000;Clothing;Fieldberg;US;f
1995063;16:17:05;4059;61488;Agneta;Persson;75;Malmo;og20neta.persslite@hotmail.con;f;52000;Tickets;Magenta;NO;f
1996363;11:05:36;3948;113040;Agneta;Svensson;25;Vosteras;og20n_svensslite@hotmail.con;t;264000;Clothing;Westland;FI;f
2015863;14:45:05;3495;71840;Agneta;Lindgren;37;Vosteras;og20n_lindgrlite@hotmail.con;t;220000;Books;Westland;SE;f
2036663;08:23:08;3465;41707;Agneta;Engstrom;43;Érebro;og20lite@hotmail.con;t;137000;Clothing;Emu;SE;f
2041863;07:27:22;3369;35950;Agneta;Danielsson;48;Nykvarn;og20netalite@hotmail.con;t;62000;Clothing;Upplandsmerg;SE;f
2049663;17:52:41;2452;22481;Agneta;Holmberg;55;Uppsala;og20neta_holmbelite@hotmail.con;t;471000;Electronics;Upplandsmerg;SE;f
2000263;16:30:14;2452;48927;Agneta;Jonsson;48;Nykvarn;og20n_jonsslite@hotmail.con;t;13000;Electronics;Upplandsmerg;SE;f
2006763;17:18:35;2282;70063;Agneta;Carlsson;27;Malmo;og20neta.carlsslite@hotmail.con;t;138000;Clothing;Magenta;SE;f
2047063;18:12:50;2121;66205;Agneta;Soderberg;42;Stockholm;og20neta.soderbelite@hotmail.con;t;290000;Clothing;Fieldberg;SE;f
2019763;23:16:36;2074;23887;Agneta;Jakobsson;52;Érebro;ow201olite@live.sn;f;294000;Food;Emu;SE;f
2030163;17:55:07;2010;119250;Agneta;Mattsson;28;Stockholm;og20neta.mattsslite@hotmail.con;t;86000;Tickets;Fieldberg;SE;f
2023663;17:59:57;1838;79149;Agneta;Berg;55;Lund;og20neta.belite@hotmail.con;t;196000;Clothing;Lund;SE;f
1993763;03:36:14;1678;112984;Agneta;Olsson;25;Stockholm;og20neta_olsslite@hotmail.con;f;3000;Tickets;Fieldberg;NO;f
2043163;17:57:40;1417;21049;Agneta;Hakansson;38;Érebro;og20n_hakansslite@hotmail.con;t;97000;Dating;Emu;SE;f
2008063;19:59:59;1338;44277;Agneta;Jonsson;69;Goteborg;og20neta.jonsslite@telia.con;t;150000;Clothing;Goteborg;FI;f
2024963;17:43:11;889;45297;Agneta;Axelsson;51;Érebro;og20n_axelsslite@gmail.con;t;42000;Clothing;Emu;FI;f
2010663;17:40:46;879;83045;Agneta;Magnusson;38;Nykvarn;og20n_magnusslite@gmail.con;t;9000;Dating;Upplandsmerg;SE;f
2034063;17:48:07;854;29894;Agneta;Lind;36;Stockholm;og20neta.lilite@hotmail.con;t;91000;Clothing;Fieldberg;SE;f
2028863;14:00:27;842;117387;Agneta;Henriksson;60;Stockholm;og20neta_henriksslite@live.sn;f;6000;Books;Fieldberg;;f
1985963;21:09:33;813;67653;Agneta;Andersson;28;Stockholm;og20neta.andersslite@telia.con;f;231000;Clothing;Fieldberg;;f
2045763;17:37:40;628;70855;Agneta;Gunnarsson;51;Vosteras;og20n_gunnarsslite@hotmail.con;t;105000;Clothing;Westland;SE;f
2011963;16:49:03;368;46339;Agneta;Lindstrom;51;Stockholm;og20neta.lindstrlite@gmail.con;t;-;Food;Fieldberg;;f
1992463;21:46:16;250;1467;Agneta;Larsson;72;Linkoping;og20n_larsslite@telia.con;t;393000;Food;Linkoping;US;f
2048363;17:14:54;246;119842;Agneta;Nystrom;57;Malmo;og20neta.nystrlite@hotmail.con;t;417000;Clothing;Magenta;SE;f
2044463;18:04:27;226;96911;Agneta;Holm;46;Linkoping;og20n_holite@hotmail.con;t;164000;Dating;Linkoping;SE;f
2040563;15:26:52;220;32170;Agneta;Bergman;63;Stockholm;og20neta.bergmlite@hotmail.con;t;34000;Clothing;Fieldberg;SE;f
2014563;13:58:15;204;49950;Agneta;Gustavsson;32;Érebro;og20n_gustavsslite@hotmail.con;t;112000;Books;Emu;SE;f
2002863;14:46:05;200;52222;Agneta;Hansson;46;Nykvarn;og20n_hansslite@hotmail.con;t;49000;Clothing;Lund;SE;f
1989863;17:51:52;155;80384;Agneta;Nilsson;77;Goteborg;og20neta.nilsslite@hotmail.con;t;292000;Clothing;Goteborg;SE;f
2027563;12:23:48;135;41152;Agneta;Fredriksson;30;Uppsala;og20neta.fredriksslite@hotmail.con;t;15000;Food;Upplandsmerg;SE;f
2039263;17:58:38;125;31189;Agneta;Eklund;72;Stockholm;og20neta.eklulite@hotmail.con;t;-;Tickets;Fieldberg;SE;f
2037963;13:39:51;122;41844;Agneta;Lundin;75;Lund;og20neta_lundlite@hotmail.con;t;139000;Food;Lund;SE;f
2018463;15:04:26;103;46919;Agneta;Bergstrom;51;Stockholm;og20neta.bergstrlite@hotmail.con;t;209000;Books;Fieldberg;SE;f
2031463;12:52:07;102;26784;Agneta;Forsberg;36;Linkoping;og20n_forsbelite@hotmail.con;t;7000;Clothing;Linkoping;SE;f
2017163;16:45:49;102;35188;Agneta;Lundberg;41;Stockholm;og20neta.lundbelite@hotmail.con;t;380000;Food;Fieldberg;SE;f
1998963;04:32:07;102;111638;Agneta;Pettersson;44;Stockholm;og20neta_pettersslite@hotmail.con;f;129000;Food;Fieldberg;SE;f
2035363;14:23:50;101;21175;Agneta;Lindqvist;39;Lund;og20neta.lindqvilite@hotmail.con;t;13000;Clothing;Lund;SE;f
2004163;16:57:29;100;81563;Agneta;Bengtsson;24;Stockholm;og20neta.bengtsslite@hotmail.con;t;220000;Clothing;Fieldberg;SE;f
2005463;16:25:14;100;70505;Agneta;Lindberg;65;Uppsala;og20neta.lindbelite@hotmail.con;t;28000;Books;Upplandsmerg;SE;f
2022363;17:46:19;100;100408;Agneta;Lundgren;37;Knivsta;og20.lundlite@hotmail.con;t;2000;Food;Magenta;SE;f
2021063;09:13:54;100;82754;Agneta;Berglund;55;Stockholm;og20neta.berglulite@hotmail.con;t;14000;Clothing;Fieldberg;SE;f
2026263;13:49:58;100;121368;Agneta;Sandberg;65;Lund;og20neta.sandbelite@hotmail.con;t;446000;Clothing;Lund;SE;f
2050391;14:46:30;9334;122158;Agneta;Gustafsson;73;Malmo;og20neta_gustafsslite@gmail.con;f;340000;Dating;Fieldberg;SE;f
2050443;09:37:02;204;111638;Agneta;Pettersson;44;Stockholm;og20neta_pettersslite@hotmail.con;f;129000;Food;Fieldberg;SE;f
2050612;01:39:21;600;52222;Agneta;Hansson;46;Nykvarn;og20n_hansslite@hotmail.con;t;49000;Clothing;Lund;SE;f
2051535;23:20:49;2074;23887;Agneta;Jakobsson;52;Érebro;ow201olite@live.sn;f;294000;Food;Fieldberg;SE;f
2051626;01:57:42;200;100408;Agneta;Lundgren;37;Knivsta;og20.lundlite@hotmail.con;t;2000;Food;Magenta;SE;f
2052523;14:39:56;6738;35950;Agneta;Danielsson;48;Nykvarn;og20netalite@hotmail.con;t;62000;Clothing;Upplandsmerg;SE;f
2053511;20:24:17;4904;48927;Agneta;Jonsson;48;Nykvarn;og20n_jonsslite@hotmail.con;t;13000;Electronics;Upplandsmerg;SE;f
2054226;02:27:27;7356;22481;Agneta;Holmberg;55;Uppsala;og20neta_holmbelite@hotmail.con;t;471000;Electronics;Upplandsmerg;SE;f
2059036;22:46:15;200;70505;Agneta;Lindberg;65;Uppsala;og20neta.lindbelite@hotmail.con;t;28000;Books;Upplandsmerg;SE;f
2060921;13:47:57;8744;25977;Agneta;Olofsson;60;Stockholm;og20neta.olofsslite@hotmail.con;t;304000;Clothing;Fieldberg;SE;f
2061558;00:47:49;10485;71840;Agneta;Lindgren;37;Vosteras;og20n_lindgrlite@hotmail.con;t;220000;Books;Westland;SE;f
2064626;18:47:33;270;41152;Agneta;Fredriksson;30;Uppsala;og20neta.fredriksslite@hotmail.con;t;15000;Food;Upplandsmerg;SE;f
2065536;22:42:19;306;26784;Agneta;Forsberg;36;Linkoping;og20n_forsbelite@hotmail.con;t;7000;Clothing;Linkoping;SE;f
2065809;22:45:24;8970;19884;Agneta;Sjoberg;52;Stockholm;og20neta.sjobelite@hotmail.con;t;493000;Clothing;Fieldberg;SE;f
2066069;03:30:48;2562;29894;Agneta;Lind;36;Stockholm;og20neta.lilite@hotmail.con;t;91000;Clothing;Fieldberg;SE;f
2067122;22:41:58;366;41844;Agneta;Lundin;75;Lund;og20neta_lundlite@hotmail.con;t;139000;Food;Lund;SE;f
2067759;00:45:00;660;32170;Agneta;Bergman;63;Stockholm;og20neta.bergmlite@hotmail.con;t;34000;Clothing;Fieldberg;SE;f
2069319;22:26:18;4242;66205;Agneta;Soderberg;42;Stockholm;og20neta.soderbelite@hotmail.con;t;290000;Clothing;Fieldberg;SE;f
2069761;01:04:02;492;119842;Agneta;Nystrom;57;Malmo;og20neta.nystrlite@hotmail.con;t;417000;Clothing;Magenta;SE;f
2072400;14:46:30;9334;122158;Agneta;Gustafsson;73;Malmo;og20neta_gustafsslite@gmail.con;f;340000;Dating;Fieldberg;SE;f
2072452;09:37:02;204;111638;Agneta;Pettersson;44;Stockholm;og20neta_pettersslite@hotmail.con;f;129000;Food;Fieldberg;SE;f
2072621;01:39:21;600;52222;Agneta;Hansson;46;Nykvarn;og20n_hansslite@hotmail.con;t;49000;Clothing;Lund;SE;f
2073544;23:20:49;2074;23887;Agneta;Jakobsson;52;Érebro;ow201olite@live.sn;f;294000;Food;Fieldberg;SE;f
2073635;01:57:42;200;100408;Agneta;Lundgren;37;Knivsta;og20.lundlite@hotmail.con;t;2000;Food;Magenta;SE;f
2074532;14:39:56;6738;35950;Agneta;Danielsson;48;Nykvarn;og20netalite@hotmail.con;t;62000;Clothing;Upplandsmerg;SE;f
2075520;20:24:17;4904;48927;Agneta;Jonsson;48;Nykvarn;og20n_jonsslite@hotmail.con;t;13000;Electronics;Upplandsmerg;SE;f
2076235;02:27:27;7356;22481;Agneta;Holmberg;55;Uppsala;og20neta_holmbelite@hotmail.con;t;471000;Electronics;Upplandsmerg;SE;f
2081045;22:46:15;200;70505;Agneta;Lindberg;65;Uppsala;og20neta.lindbelite@hotmail.con;t;28000;Books;Upplandsmerg;SE;f
2082930;13:47:57;8744;25977;Agneta;Olofsson;60;Stockholm;og20neta.olofsslite@hotmail.con;t;304000;Clothing;Fieldberg;SE;f
2083567;00:47:49;10485;71840;Agneta;Lindgren;37;Vosteras;og20n_lindgrlite@hotmail.con;t;220000;Books;Westland;SE;f
2086635;18:47:33;270;41152;Agneta;Fredriksson;30;Uppsala;og20neta.fredriksslite@hotmail.con;t;15000;Food;Upplandsmerg;SE;f
2087545;22:42:19;306;26784;Agneta;Forsberg;36;Linkoping;og20n_forsbelite@hotmail.con;t;7000;Clothing;Linkoping;SE;f
2087818;22:45:24;8970;19884;Agneta;Sjoberg;52;Stockholm;og20neta.sjobelite@hotmail.con;t;493000;Clothing;Fieldberg;SE;f
2088078;03:30:48;2562;29894;Agneta;Lind;36;Stockholm;og20neta.lilite@hotmail.con;t;91000;Clothing;Fieldberg;SE;f
2089131;22:41:58;366;41844;Agneta;Lundin;75;Lund;og20neta_lundlite@hotmail.con;t;139000;Food;Lund;SE;f
2089768;00:45:00;660;32170;Agneta;Bergman;63;Stockholm;og20neta.bergmlite@hotmail.con;t;34000;Clothing;Fieldberg;SE;f
2091328;22:26:18;4242;66205;Agneta;Soderberg;42;Stockholm;og20neta.soderbelite@hotmail.con;t;290000;Clothing;Fieldberg;SE;f
2091770;01:04:02;492;119842;Agneta;Nystrom;57;Malmo;og20neta.nystrlite@hotmail.con;t;417000;Clothing;Magenta;SE;f
2094409;14:46:30;9334;122158;Agneta;Gustafsson;73;Malmo;og20neta_gustafsslite@gmail.con;f;340000;Dating;Fieldberg;SE;f
2094461;09:37:02;204;111638;Agneta;Pettersson;44;Stockholm;og20neta_pettersslite@hotmail.con;f;129000;Food;Fieldberg;SE;f
2094630;01:39:21;600;52222;Agneta;Hansson;46;Nykvarn;og20n_hansslite@hotmail.con;t;49000;Clothing;Lund;SE;f
2095553;23:20:49;2074;23887;Agneta;Jakobsson;52;Érebro;ow201olite@live.sn;f;294000;Food;Fieldberg;SE;f
2095644;01:57:42;200;100408;Agneta;Lundgren;37;Knivsta;og20.lundlite@hotmail.con;t;2000;Food;Magenta;SE;f
2096541;14:39:56;6738;35950;Agneta;Danielsson;48;Nykvarn;og20netalite@hotmail.con;t;62000;Clothing;Upplandsmerg;SE;f
2097529;20:24:17;4904;48927;Agneta;Jonsson;48;Nykvarn;og20n_jonsslite@hotmail.con;t;13000;Electronics;Upplandsmerg;SE;f
2098244;02:27:27;7356;22481;Agneta;Holmberg;55;Uppsala;og20neta_holmbelite@hotmail.con;t;471000;Electronics;Upplandsmerg;SE;f
